UH#,GLOSS#,Location,Country,Latitude,Longitude,Start,End
655,,Lubang,Philippines,13.817,120.202,6/12/2010,8/31/2024
680,130,Macquarie Is.,Australia,-54.483,158.967,12/29/1993,7/9/2008
684,178,Puerto Montt,Chile,-41.483,-72.967,4/3/1980,4/2/2024
699,44,Tanjong Pagar,Singapore,1.262,103.853,1/1/1984,12/30/2020
700,188,Faraday,Antarctica,-65.25,-64.267,10/15/1959,8/31/2024
708,334,"Salvador, USCGS",Brazil,-12.967,-38.517,10/3/2004,8/31/2024
729,192,Mar del Plata,Argentina,-38.035,-57.538,3/24/2010,8/31/2024
730,189,Base Prat,Chile,-62.483,-59.667,3/10/2010,8/31/2024
731,191,Puerto Madryn,Argentina,-42.763,-65.03,3/15/2010,8/31/2024
737,,San Andres,Colombia,12.568,-81.702,9/26/2012,8/31/2024
738,,Santa Marta,Colombia,11.235,-74.222,10/1/2012,8/31/2024
739,,El Porvenir,Panama,9.558,-78.948,8/23/2012,8/31/2024
752,289,"Fort Pulaski, GA",United States of America,32.033,-80.902,7/2/1935,8/31/2024
755,218,"Virginia Key, FL",United States of America,25.732,-80.162,1/29/1994,8/31/2024
762,288,"Pensacola, FL",United States of America,30.403,-87.213,5/2/1923,8/31/2024
767,217,"Galveston, P.Pier",United States of America,29.285,-94.788,8/22/1957,7/19/2011
775,217,"Galveston, Pier 21",United States of America,29.31,-94.793,1/2/1904,8/31/2024
776,,Punta Cana,Dominican Republic,18.5,-68.38,6/19/2010,8/31/2024
777,,Puerto Plata,Dominican Republic,19.8,-70.7,6/22/2010,8/31/2024
786,,Roseau,Dominica,15.3,-61.4,5/17/2011,8/31/2024
789,,Prickley Bay,Grenada,12,-61.767,5/11/2011,8/31/2024
795,,Kingstow,Unknown,13.133,-61.2,3/28/2022,8/30/2024
799,209,Portu-Prince,Haiti,18.567,-72.35,12/1/2011,12/15/2023
800,322,Andenes,Norway,69.317,16.15,10/10/1991,8/31/2024
801,,Honningsvag,Norway,70.983,25.983,6/2/1988,8/31/2024
802,,Maloy,Norway,61.933,5.117,4/22/1986,8/31/2024
803,234,Rorvik,Norway,64.867,11.25,8/19/1969,8/31/2024
804,321,Tregde,Norway,58,7.567,10/5/1927,8/31/2024
805,323,Vardo,Norway,70.333,31.1,9/11/1947,8/31/2024
806,,Nouakchott,Mauritania,18.1,-15.95,1/6/2007,4/2/2024
807,349,Alexandria,Egypt,31.217,29.917,10/1/2010,1/9/2016
808,343,Thule (Pituffik),Denmark,76,-68,9/19/2006,8/31/2024
809,315,Ittoqqortoormiit,Denmark,70.483,-21.983,10/16/2007,8/31/2024
816,350,Port Sonara,Cameroon,4.217,9.133,6/24/2008,6/24/2011
817,,Upernavi,Unknown,70.483,-21.983,8/16/2024,8/31/2024
818,,Smogen,Sweden,58.35,11.215,1/1/2000,8/31/2024
819,233,Goteborgorsh.,Sweden,57.683,11.8,11/3/1967,1/18/2023
820,225,"Nuuk, Godthaab",Denmark,64.172,-51.72,7/5/2014,8/31/2024
822,242,Brest,France,48.383,-4.5,01/04/1846,8/31/2024
823,345,Nylesund,Norway,78.933,11.933,8/31/1976,8/31/2024
824,205,Marseille,France,43.3,5.35,11/02/1849,8/31/2024
825,284,Cuxhaven,Germany,53.867,8.717,12/30/1917,8/31/2024
826,341,Stockholm,Sweden,59.317,18.083,01/01/1889,8/31/2024
829,340,Trieste,Italy,45.647,13.76,6/1/2009,8/31/2024
830,243,La Coruna,Spain,43.367,-8.4,3/1/1943,3/17/2024
833,224,Nain,Canada,56.55,-61.7,10/18/1963,8/31/2024
